#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-inconsolata,"is the monospace font of Siarch."
,ttf-linux-libertine,"provides the sans and serif fonts for Siarch."
,ranger,"is an extensive terminal file manager that everyone likes."
,rofi,"A window switcher, application launcher and dmenu replacement."
,vifm,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,calcurse,"is a lightweight terminal-based calendar."
,fish,"a smart and user friendly shell intended mostly for interactive use."
A,fundle-git,"A minimalist package manager for fish shell."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,bluez,"Daemons for the bluetooth protocol stack."
,bluez-utils,"Development and debugging utilities for the bluetooth protocol stack."
,bluez-libs,"Deprecated libraries for the bluetooth protocol stack."
,pulseaudio-bluetooth,"Bluetooth support for PulseAudio."
,dunst,"is a suckless notification system."
,lightdm,"A lightweight display manager"
,lightdm-webkit-theme-litarvan,"Litarvan's LightDM HTML Theme "
,exfat-utils,"allows management of FAT drives."
,feh,"sets the wallpaper."
,python-pywal,"Generate and change color-schemes on the fly."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in Siarch."
,gvim,"provides a build of vim with the ability to copy and paste between other programs."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,slack-desktop,"Proprietary Slack client for desktop. Based on the Electron platform."
A,skypeforlinux-stable-bin,"Popular but proprietary application for voice and video communication. Based on the Electron platform."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,firefox,"is the only program on Siarch your girlfriend has ever heard of."
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
A,vidir,"A command-line utility to allow for editing directory contents."
A,googler,"Google from the command-line."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in Siarch."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
,scrot,"can take quick screenshots at your request."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in Siarch."
A,unclutter-xfixes-git,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of Siarch."
,xclip,"allows for copying and pasting from the command line."
,inkscape,"Professional vector graphics editor"
,gnome-shell,"Next generation desktop shell"
,optipng,"Compresses PNG files to a smaller size, without losing any information."
A,gtk-arc-flatabulous-theme-git,"Arc theme with Flatabulous window controls."
A,paper-icon-theme,"Paper Icon Theme http://snwh.org/paper"
A,cava,"Console-based Audio Visualizer for Alsa."
A,compton-tryone-git,"tryone's patched fork of compton with kawase blur"
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xssstate,"times out the screen if locked."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,youtube-viewer,"is a terminal interface for watching YouTube videos without a browser."
,zathura,"is a pdf viewer with vim-like bindings."
A,xurls,"Extract urls from plain text."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,inotify-tools,"inotify-tools is a C library and a set of command-line programs for Linux providing a simple interface to inotify."
,rlwrap,"Adds readline-style editing and history to programs."
,translate-shell,"is a command-line interface and interactive shell for Google Translate."
,lolcat,"Okay, no unicorns. But rainbows!!"
,irssi,"is a modular text mode IRC client with Perl scripting."
,ncdu,"Simple ncurses disk usage analyzer."
,fzf,"is a fuzzy finder tool."
,groff,"GNU troff text-formatting system."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
,dmenu,"runs commands and provides a UI for selection."
G,https://github.com/mrkatebzadeh/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/mrkatebzadeh/surf.git,"is my custom build of suckless's web browser."
G,https://github.com/mrkatebzadeh/tabbed.git,"is my custom build of suckless's tabbed."
G,https://github.com/mrkatebzadeh/sent.git,"is my custom build of suckless's sent."
G,https://github.com/mrkatebzadeh/sxiv.git,"is my custom build of a minimalist image viewer."
A,tty-clock,"is adigital clock in ncurses."
A,borna-fonts,"persian fonts"
A,gandom-fonts,"persian fonts"
A,ir-standard-fonts,"persian fonts"
A,iran-nastaliq-fonts,"persian fonts"
A,iranian-fonts,"persian fonts"
A,nerd-fonts-complete,"persian fonts"
A,parastoo-fonts,"persian fonts"
A,persian-fonts,"persian fonts"
A,persian-hm-ftx-fonts,"persian fonts"
A,persian-hm-xs2-fonts,"persian fonts"
A,sahel-fonts,"persian fonts"
A,samim-fonts,"persian fonts"
A,shabnam-fonts,"persian fonts"
A,sina-fonts,"persian fonts"
A,tanha-fonts,"persian fonts"
A,ttf-ms-fonts,"persian fonts"
A,ttf-qurancomplex-fonts,"persian fonts"
A,vazir-code-fonts,"persian fonts"
A,vazir-fonts,"persian fonts"
